Month,Median Sale Price
January 2018,595000
February 2018,640000
March 2018,640000
April 2018,650000
May 2018,675000
June 2018,685000
July 2018,690000
August 2018,690000
September 2018,700000
October 2018,705000
November 2018,680000
December 2018,660000
January 2019,650000
February 2019,645000
March 2019,620000
April 2019,600000
May 2019,615000
June 2019,675000
July 2019,670000
August 2019,660000
September 2019,610000
October 2019,650000
November 2019,655000
December 2019,670000
January 2020,695000
February 2020,695000
March 2020,700000
April 2020,690000
May 2020,680000
June 2020,685000
July 2020,705000
August 2020,705000
September 2020,710000
October 2020,710000
November 2020,715000
December 2020,690000
January 2021,660000
February 2021,675000
March 2021,710000
April 2021,715000
May 2021,720000
June 2021,725000
July 2021,730000
August 2021,740000
September 2021,725000
October 2021,715000
November 2021,720000
December 2021,705000
January 2022,730000
February 2022,715000
March 2022,795000
April 2022,800000
May 2022,820000
June 2022,795000
July 2022,790000
August 2022,785000
September 2022,780000
October 2022,795000
November 2022,800000
December 2022,810000