Title,Individual Rating (1-10),Popularity (1-10),Length of Episode
New Girl,7,7,20
Ted Lasso,10,5,40
Narcos,9,8,50
Last Kingdom,9,8,40
Phineas and Ferb,10,8,22
Outer Banks,8,9,30
The Last of Us,9,9,50
Umbrella Academy,10,5,50
Spongebob,10,9,20
Stranger things,9,10,50
Arrested Development,9,7,20
Fleabag,9,5,25
Psych,9,7,45
Hannibal,8,4,60
Aggretsuko,7,4,30
Breaking Bad,8,7,30
Selling Sunset,9,8,40
The Glory,10,8,60
The Mindy Project,9,4,45
3%,8,7,50
How I met your mother,7,10,20
Gilmore Girls,9,7,40
Gossip Girl,9,9,35
Mindy Project ,8,8,23
Gossip Girl,6,8,40
The Morning Show,9,6,60
Peaky Blinders,8,8,60
End of the f*cking world,9.8,7,30
Avatar: The Last Airbender,10,6,22
You,9,8,45
Breaking Bad,10,10,50
One Tree Hill,9,7,40
The Office,9,10,30
Breaking Bad,7,9,55
Bojack Horseman,10,7,25
Never Have I Ever ,7,7,30
The Queen's Gambit,10,7,60
Weak Hero Class 1,7,5,60
Friends ,10,9,20
The Big Bang Theory,7,6,20
Sex Education,7,7,50
Love Island,1,7,60
The Boys,9,7,50
Alias,7,5,45
Breaking Bad,10,10,45
It's always sunny in philadelphia,10,8,30
Better Call Saul,10,9,45
Band of Brothers,8,9,45
I'm sorry,7,5,20
vinland saga,9,7,25
The Middle,8,5,20
This Is Us ,10,9,45
Seinfeld,6,7,20
The Crown,9,8,60
Family Guy,8,9,30
Regualr Show,8,4,50
Manifest,8,8,40