Year,Max Temp,Min Temp,Mean,Humidity
1922,70,60,65,54
1923,82,68,75,59
1924,64,55,59.5,48
1925,69,55,62,52
1926,62,47,54.5,74
1927,66,41,53.5,77
1928,61,46,53.5,74
1929,51,32,41.5,73
1930,56,40,48,73
1931,78,54,66,73
1932,83,67,75,71
1933,59,50,54.5,72
1934,63,46,54.5,51
1935,76,66,71,50
1936,78,62,70,51
1937,71,48,59.5,55
1938,64,45,54.5,53
1939,69,40,54.5,62
1940,59,46,52.5,65
1941,55,47,51,64
1942,64,54,59,64
1943,65,44,54.5,62
1944,79,64,71.5,53
1945,72,58,65,69
1946,76,63,69.5,66
1947,74,53,63.5,52
1948,51,34,42.5,68
1949,52,41,46.5,60
1950,75,49,62,67
1951,69,50,59.5,60
1952,53,44,48.5,65
1953,60,46,53,69
1954,67,50,58.5,69
1955,46,43,44.5,56
1956,73,60,66.5,69
1957,70,55,62.5,60
1958,48,29,38.5,51
1959,79,63,71,65
1960,51,45,48,53
1961,77,54,65.5,67
1962,55,37,46,52
1963,55,44,49.5,66
1964,55,41,48,60
1965,62,49,55.5,68
1966,63,47,55,56
1967,43,32,37.5,50
1968,60,41,50.5,69
1969,56,40,48,62
1970,60,38,49,70
1971,62,41,51.5,68
1972,70,52,61,66
1973,74,61,67.5,67
1974,54,31,42.5,50
1975,78,52,65,53
1976,80,64,72,55
1977,76,42,59,55
1978,39,31,35,63
1979,65,35,50,52
1980,74,50,62,64
1981,70,52,61,70
1982,81,49,65,50
1983,67,40,53.5,61
1984,50,42,46,63
1985,62,49,55.5,52
1986,40,32,36,57
1987,70,46,58,51
1988,59,33,46,66
1989,44,36,40,65
1990,72,52,62,64
1991,68,46,57,69
1992,72,53,62.5,54
1993,66,44,55,57
1994,63,33,48,55
1995,69,55,62,63
1996,76,55,65.5,59
1997,52,36,44,63
1998,69,45,57,53
1999,76,50,63,64
2000,77,54,65.5,51
2001,80,62,71,65
2002,59,36,47.5,68
2003,60,50,55,58
2004,62,55,58.5,65
2005,74,60,67,55
2006,75,47,61,65
2007,72,54,63,56
2008,79,69,74,66
2009,68,38,53,64
2010,51,31,41,51
2011,74,60,67,64
2012,75,43,59,56
2013,75,58,66.5,52
2014,42,35,38.5,64
2015,47,34,40.5,54
2016,59,40,49.5,59
2017,79,71,75,69
2018,74,50,62,58
2019,52,36,44,63
2020,68,56,62,61
2021,33,25,29,56